"[STCODE_11]시도별","시도별","[STCODE_12]설립주체별","설립주체별","[STCODE_13]학교현황별","학교현황별","시점","중학교 개황",
"00","총계","A001","계","E_2","여자","2013 년","305320",
"00","총계","A001","계","E_2","여자","2014 년","288829",
"00","총계","A001","계","E_2","여자","2015 년","280469",
"00","총계","A001","계","E_2","여자","2016 년","282500",
"00","총계","A001","계","E_2","여자","2017 년","250090",
"00","총계","A001","계","E_2","여자","2018 년","217878",
"00","총계","A001","계","E_2","여자","2019 년","222488",
"00","총계","A001","계","E_2","여자","2020 년","213968",
"00","총계","A001","계","E_2","여자","2021 년","198343",
"00","총계","A001","계","E_2","여자","2022 년","206100",
"00","총계","A001","계","F_3","교실수","2015 년","86222",
"00","총계","A001","계","F_3","교실수","2016 년","85692",
"00","총계","A001","계","F_3","교실수","2017 년","85759",
"00","총계","A001","계","F_3","교실수","2018 년","85343",
"00","총계","A001","계","F_3","교실수","2019 년","85004",
"00","총계","A001","계","F_3","교실수","2020 년","85476",
"00","총계","A001","계","F_3","교실수","2021 년","86305",
"00","총계","A001","계","F_3","교실수","2022 년","86865",
"00","총계","A001","계","F_1","정규교실","2013 년","58987",
"00","총계","A001","계","F_1","정규교실","2014 년","58665",
"00","총계","A001","계","F_2","가·대용교실","2013 년","245",
"00","총계","A001","계","F_2","가·대용교실","2014 년","242",
"00","총계","A001","계","F_4","일반교실","2015 년","52246",
"00","총계","A001","계","F_4","일반교실","2016 년","51367",
"00","총계","A001","계","F_4","일반교실","2017 년","51078",
"00","총계","A001","계","F_4","일반교실","2018 년","50680",
"00","총계","A001","계","F_4","일반교실","2019 년","50297",
"00","총계","A001","계","F_4","일반교실","2020 년","50862",
"00","총계","A001","계","F_4","일반교실","2021 년","52040",
"00","총계","A001","계","F_4","일반교실","2022 년","53163",
"00","총계","A001","계","F_5","교과교실","2015 년","10545",
"00","총계","A001","계","F_5","교과교실","2016 년","10866",
"00","총계","A001","계","F_5","교과교실","2017 년","11075",
"00","총계","A001","계","F_5","교과교실","2018 년","11196",
"00","총계","A001","계","F_5","교과교실","2019 년","11245",
"00","총계","A001","계","F_5","교과교실","2020 년","11265",
"00","총계","A001","계","F_5","교과교실","2021 년","10916",
"00","총계","A001","계","F_5","교과교실","2022 년","10262",
"00","총계","A001","계","F_6","특별교실","2015 년","21371",
"00","총계","A001","계","F_6","특별교실","2016 년","21561",
"00","총계","A001","계","F_6","특별교실","2017 년","21845",
"00","총계","A001","계","F_6","특별교실","2018 년","21889",
"00","총계","A001","계","F_6","특별교실","2019 년","22038",
"00","총계","A001","계","F_6","특별교실","2020 년","22045",
"00","총계","A001","계","F_6","특별교실","2021 년","22169",
"00","총계","A001","계","F_6","특별교실","2022 년","22324",
"00","총계","A001","계","F_7","수준별교실","2015 년","2060",
"00","총계","A001","계","F_7","수준별교실","2016 년","1898",
"00","총계","A001","계","F_7","수준별교실","2017 년","1761",
"00","총계","A001","계","F_7","수준별교실","2018 년","1578",
"00","총계","A001","계","F_7","수준별교실","2019 년","1424",
"00","총계","A001","계","F_7","수준별교실","2020 년","1304",
"00","총계","A001","계","F_7","수준별교실","2021 년","1180",
"00","총계","A001","계","F_7","수준별교실","2022 년","1116",
"00","총계","A001","계","G_1","학급수","2013 년","56843",
"00","총계","A001","계","G_1","학급수","2014 년","56305",
"00","총계","A001","계","G_1","학급수","2015 년","54855",
"00","총계","A001","계","G_1","학급수","2016 년","53184",
"00","총계","A001","계","G_1","학급수","2017 년","52294",
"00","총계","A001","계","G_1","학급수","2018 년","51832",
"00","총계","A001","계","G_1","학급수","2019 년","51534",
"00","총계","A001","계","G_1","학급수","2020 년","52195",
"00","총계","A001","계","G_1","학급수","2021 년","53053",
"00","총계","A001","계","G_1","학급수","2022 년","53955",
"00","총계","A001","계","G_3","1학년","2013 년","18186",
"00","총계","A001","계","G_3","1학년","2014 년","17197",
