"서울특별시","사립",40,828,23657,11688,990,590,298,114,4146,2072,3894,1931,872,867,5,40,820,23098,11452,1011,596,300,111,4035,1995,3817,1862,894,889,5,39,810,22647,11284,980,581,293,112,4018,1988,3518,1739,1415,809,153,387,66,39,809,22390,11246,992,604,284,106,3957,1943,3471,1713,1433,807,173,387,66,39,807,21982,11015,1000,609,279,108,3912,1933,3502,1753,1429,809,164,392,64,39,793,21150,10602,968,602,270,103,3701,1844,3394,1741,1440,816,168,392,64,39,786,20908,10524,965,604,265,105,3767,1856,3249,1680,1470,836,173,396,65,39,775,20667,10380,961,608,248,102,3811,1909,3168,1627,1470,829,174,403,64,38,776,21079,10554,959,609,241,102,3792,1894,3078,1572,1433,805,188,394,46,38,779,21570,10781,972,617,243,104,3748,1873,2985,1527,1428,808,173,404,43
"부산광역시","계",302,7067,160821,77096,10558,8509,1251,749,24343,11743,36023,17004,7446,7313,133,305,7068,155754,74828,10540,8499,1270,757,26814,12950,31795,15139,7569,7451,118,306,7063,154283,74461,10414,8428,1286,785,25476,12399,27179,12960,10118,7210,507,2275,126,308,6873,151207,73178,10250,8287,1255,782,24306,11781,27693,13194,10026,7176,513,2221,116,308,6840,150863,73047,10173,8242,1255,796,26367,12824,26006,12624,9970,7178,506,2205,81,305,6856,152775,74238,10170,8278,1219,790,26685,13111,23686,11379,9867,7119,549,2111,88,304,6905,155589,75622,10152,8233,1190,805,27395,13313,24006,11602,9927,7180,553,2091,103,304,6914,153527,74717,10148,8200,1191,829,24759,12074,26330,12771,9981,7207,582,2080,112,304,6914,153921,74796,10171,8202,1195,852,25123,12170,25165,12260,10038,7262,604,2078,94,304,7105,154858,75306,10537,8481,1206,858,25535,12406,23782,11503,10121,7433,574,2037,77
"부산광역시","국립",1,25,720,360,33,16,2,-,112,56,128,64,25,25,-,1,25,703,352,33,18,2,1,112,56,128,64,25,25,-,1,25,688,344,33,16,1,-,112,56,128,65,38,-,25,13,-,1,25,672,336,33,18,2,1,112,56,128,64,38,-,25,13,-,1,25,672,334,33,17,1,-,112,56,112,56,38,21,4,13,-,1,25,672,336,33,16,0,0,112,56,112,54,36,21,4,11,0,1,25,656,328,33,17,2,1,96,48,111,55,43,24,0,19,0,1,25,640,320,33,18,2,2,96,48,112,57,43,24,-,19,-,1,25,624,312,33,22,4,2,96,48,112,56,43,24,-,19,-,1,25,609,305,33,22,1,-,96,48,112,56,43,24,-,19,-
"부산광역시","공립",295,6957,157728,75567,10419,8463,1212,737,23799,11471,35557,16770,7329,7196,133,298,6953,152704,73322,10404,8453,1235,748,26292,12700,31339,14917,7452,7334,118,299,6951,151309,72994,10278,8385,1250,776,24961,12161,26699,12726,9920,7123,471,2205,121,301,6760,148256,71739,10115,8238,1228,774,23763,11516,27200,12949,9816,7083,473,2149,111,301,6727,147925,71605,10035,8193,1220,788,25775,12528,25537,12384,9760,7064,487,2133,76,298,6744,149819,72789,10029,8229,1183,780,26142,12851,23249,11168,9659,7005,530,2041,83,297,6793,152617,74154,10013,8182,1156,795,26853,13047,23585,11394,9712,7063,538,2013,98,297,6803,150554,73239,10009,8144,1158,818,24208,11799,25897,12561,9766,7090,567,2002,107,297,6802,150888,73292,10029,8144,1161,841,24539,11889,24728,12046,9818,7145,588,1996,89,297,6990,151698,73746,10390,8420,1173,846,24958,12123,23361,11299,9901,7316,558,1955,72
"부산광역시","사립",6,85,2373,1169,106,30,37,12,432,216,338,170,92,92,-,6,90,2347,1154,103,28,33,8,410,194,328,158,92,92,-,6,87,2286,1123,103,27,35,9,403,182,352,169,160,87,11,57,5,6,88,2279,1103,102,31,25,7,431,209,365,181,172,93,15,59,5,6,88,2266,1108,105,32,34,8,480,240,357,184,172,93,15,59,5,6,87,2284,1113,108,33,36,10,431,204,325,157,172,93,15,59,5,6,87,2316,1140,106,34,32,9,446,218,310,153,172,93,15,59,5,6,86,2333,1158,106,38,31,9,455,227,321,153,172,93,15,59,5,6,87,2409,1192,109,36,30,9,488,233,325,158,177,93,16,63,5,6,90,2551,1255,114,39,32,12,481,235,309,148,177,93,16,63,5
"대구광역시","계",219,5970,136309,64435,9004,7342,955,654,20163,9674,30859,14457,6062,6053,9,220,5919,131765,62656,8971,7338,991,689,22385,10948,27048,12796,6044,6027,17,221,5821,129583,61973,8869,7271,942,682,20866,10014,23089,10696,7617,5929,294,1357,37,225,5555,125541,60227,8873,7283,907,669,19670,9501,23846,11312,7633,5737,341,1525,30,228,5507,124708,60017,8900,7287,866,657,21056,10164,21997,10459,7771,5721,372,1637,41,229,5473,125160,60552,9039,7406,821,652,21101,10313,20451,9695,7816,5677,398,1688,53,229,5458,126122,61134,9013,7369,771,630,21666,10538,20317,9734,7765,5669,422,1630,44,230,5443,122587,59543,8905,7274,768,637,19377,9564,22294,10875,7712,5676,396,1597,43,232,5415,121308,59091,8970,7309,737,609,19643,9643,20679,9942,7647,5640,433,1535,39,233,5479,121485,59284,8930,7263,740,616,19656,9607,19484,9426,7707,5787,418,1451,51
"대구광역시","국립",2,44,1142,571,58,31,4,2,168,84,221,109,44,44,-,2,44,1108,553,60,28,4,3,168,84,198,100,44,44,-,2,44,1077,537,59,27,3,2,170,84,199,100,61,43,4,14,-,2,44,1048,522,58,29,3,2,170,85,195,96,61,43,4,14,-,2,44,1014,506,58,27,3,1,172,84,200,100,61,43,4,14,-,2,44,1022,510,58,28,3,2,173,85,165,82,61,43,4,14,0,2,44,1019,506,58,29,3,1,168,84,167,87,61,43,4,14,0,2,44,1014,500,58,26,3,2,169,84,167,84,62,43,-,19,-,2,44,993,493,60,26,3,1,155,79,171,85,62,43,-,19,-,2,44,962,477,60,22,3,1,140,70,167,83,62,43,-,19,-
"대구광역시","공립",213,5854,132668,62664,8864,7274,932,648,19571,9388,30215,14141,5945,5936,9,214,5803,128174,60884,8829,7274,969,682,21793,10655,26410,12499,5927,5910,17,215,5705,126033,60233,8727,7210,922,676,20272,9735,22491,10398,7440,5814,283,1307,36,219,5439,122028,58523,8734,7222,887,663,19092,9223,23237,11010,7452,5622,330,1471,29,222,5391,121224,58348,8757,7224,846,652,20476,9883,21396,10161,7590,5606,361,1583,40,223,5357,121694,58883,8897,7345,805,646,20536,10043,19882,9420,7634,5562,387,1633,52,223,5342,122729,59512,8871,7305,755,625,21112,10277,19749,9450,7581,5554,411,1573,43,224,5327,119262,57966,8762,7211,752,631,18823,9292,21726,10593,7523,5561,396,1524,42,226,5299,118078,57544,8825,7246,721,604,19102,9367,20110,9672,7458,5525,433,1462,38,227,5363,118301,57755,8784,7202,724,611,19152,9362,18975,9185,7518,5672,418,1378,50
"대구광역시","사립",4,72,2499,1200,82,37,19,4,424,202,423,207,73,73,-,4,72,2483,1219,82,36,18,4,424,209,440,197,73,73,-,4,72,2473,1203,83,34,17,4,424,195,399,198,116,72,7,36,1,4,72,2465,1182,81,32,17,4,408,193,414,206,120,72,7,40,1,4,72,2470,1163,85,36,17,4,408,197,401,198,120,72,7,40,1,4,72,2444,1159,84,33,13,4,392,185,404,193,121,72,7,41,1,4,72,2374,1116,84,35,13,4,386,177,401,197,123,72,7,43,1,4,72,2311,1077,85,37,13,4,385,188,401,198,127,72,-,54,1,4,72,2237,1054,85,37,13,4,386,197,398,185,127,72,-,54,1,4,72,2222,1052,86,39,13,4,364,175,342,158,127,72,-,54,1
"인천광역시","계",240,6717,157918,76268,9748,7335,1085,749,25038,12011,33353,16052,7150,7128,22,242,6757,156740,75873,9890,7449,1092,747,28185,13720,29819,14381,7175,7150,25,243,6753,157099,76338,9874,7431,1061,715,26563,13039,26198,12605,8802,7148,181,1442,31,247,6772,155590,75629,9967,7490,1048,709,25952,12603,27208,13221,8991,7254,184,1523,30,249,6788,156470,76182,9983,7523,1039,735,27026,13120,25852,12537,9060,7322,220,1502,16,249,6981,158871,77308,10037,7565,1006,720,27361,13257,24127,11699,9148,7485,175,1473,15,250,6995,160853,78290,10026,7559,961,708,27541,13454,24914,11991,9260,7584,158,1505,13,253,6913,156928,76478,10071,7613,947,699,24835,12180,27801,13586,9367,7657,186,1508,16,258,6979,155271,75550,10081,7620,956,715,24765,12061,25989,12803,9526,7821,196,1494,15,260,7091,155906,75946,10399,7848,933,703,25279,12297,25225,12262,9612,7886,188,1528,10
